razon_social,establecimiento,id_depto,nombre_rubro
"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD C,82098,AGRICULTURA
"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD D,82098,AGRICULTURA
"NEOFARMS SRL/GUIDOBONO JOSE MARIA/CALERO GUILLERMO,",POOL CONSORCIO - UNIDAD E,82098,AGRICULTURA
SALDUNA PEDRO JORGE - SALDUNA PEDRO,SANTA DOMINGA,82098,AGRICULTURA
SOCAS CARLOS MARIA,LA MARMOL - SAN PANCHO,82098,GANADERIA
STIVANELLO JUAN CARLOS,JUAN CARLOS STIVANELLO (FINCA),82098,FRUTICULTURA/HORTICULTURA
TIANA S.A.,TIANA S.A.,82098,AGRICULTURA
WOLFF GUSTAVO ALFREDO,LOS NOGALES,82098,FRUTICULTURA/HORTICULTURA
CORONEL ALEJANDRO ANIBAL,PURO ALOE,82098,AGRICULTURA
ISLA PUEN SRL,ISLA PUEN,54098,AGRICULTURA
UTE BV S.A.,EL CANADIENSE,54098,FRUTICULTURA/HORTICULTURA
ADROVER TRISTAN,FINCA LA ESCONDIDA,82098,AGRICULTURA
ALCONOR S.A.,EL INFANTE,82098,AGRICULTURA
AYNI S.A.,LA COLORADA,82098,AGRICULTURA
BLANCO HUGO ROBERTO,EL VASCO,82098,AGRICULTURA
CAMPO ALEGRE S.A.,FINCA CAMPO ALEGRE,82098,AGRICULTURA
COOPERATIVA DE PRODUCTORES APICOLA DE JUJUY LTDA.,COOPERATIVA DE PRODUCTORES DE MIELES DE JUJUY,82098,APICULTURA
EL OMBU SRL,FINCA FIORINI,82098,AGRICULTURA
EMECINCO S.A.,FINCA LOS PLATANOS,82098,AGRICULTURA
FINCA EL PONGO - HPTAL. ARTURO ZABALA,FINCA EL PONGO,82098,AGRICULTURA
FINCA LAS MERCEDES SRL,FINCA LAS MERCEDES,82098,AGRICULTURA
GARELY S.A.,LOS PUENTES,82098,AGRICULTURA
HAROIAN NELSON EDGARDO,FINCA PAMPA BLANCA,82098,AGRICULTURA
INGENIO LA ESPERANZA S.A.,INGENIO LA ESPERANZA,82098,AGRICULTURA
INKLEMONA DE BALUT ROSA,FINCA LAS PICHANAS,82098,AGRICULTURA
MORALES GUSTAVO ROBERTO,FINCA MORALES,82098,AGRICULTURA
PALMA SOLA FARMS S.R.L,PALMA SOLA,82098,AGRICULTURA
EDCO GRAINS S.A.,SAN JUAN,82098,AGRICULTURA
LOS AMIGOS S.H.,DON SERAFIN - EL CARMEL,82098,APICULTURA
"BELLAN, EDGARDO CHARBEL MARIA",LAS TRES MARIAS,82098,FRUTICULTURA
BELLIA JOSE LUIS,AGROVID,82098,FRUTICULTURA
"CAPECE, LORENZO OSVALDO",LA ALBORADA,82098,FRUTICULTURA
CLEAN INVESTMENT SA,EL RETAMO,82098,AGRICULTURA
CLEAN INVESTMENT SA,SAN AMBROSIO Y  DON JESUS,82098,AGRICULTURA
CONCESIONARIA DE FINCAS EL RENUEVO S.A.,FINCAS EL RENUEVO,82098,FRUTICULTURA/HORTICULTURA
COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA,82098,FRUTICULTURA
COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,FINCA CIUDADELA II (EXFEDERADA RIOJANA SA),82098,FRUTICULTURA
COOPERATIVA VITIVINIFRUTICOLA  LA RIOJANA LTDA.,PARCELA 12,82098,FRUTICULTURA
COVARRUBIAS SA,COVARRUBIAS,82098,FRUTICULTURA
"DE LA VEGA, EDUARDO DANIEL",MARTA ELENA,82098,FRUTICULTURA
EMPRENDIMIENTOS DEL NORTE SRL,FINCA LA ANDALUZA,82098,FRUTICULTURA
FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 3),82098,FRUTICULTURA
FINCA CERES SRL,FINCA CERES (EX-AGRICOLA SAN CAYETANO 6),82098,FRUTICULTURA
FREZZI SACIAG,FINCA FREZZI II,82098,AGRICULTURA
FREZZI SACIAG,FINCA FREZZI,82098,FRUTICULTURA
FUERTE DEL BAÑADO S.A.,FUERTE DEL BAÑADO,82098,AGRICULTURA
"GARROT, CARLOS PEDRO",FINCA SANTA GUALBERTA,82098,FRUTICULTURA
"GONZALEZ RODRIGUEZ, GERMAN",DON BERNABE,82098,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",EX-BERETTA,82098,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",EX-MORENO,82098,FRUTICULTURA
"GONZALEZ, MARIO HERNAN",NUEVA,82098,FRUTICULTURA
INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,FINCA TIMBO RIOJANA,82098,FRUTICULTURA/HORTICULTURA
"IRIARTE, DANIEL",FINCA LAS ROSAS (IRIARTE),82098,FRUTICULTURA
"LARGUIA, JONAS",FINCA LA NUESTRA,82098,FRUTICULTURA
MAELCA S.A.,LOS RANQUELES,82098,AGRICULTURA
MAELCA SA,LOS CERRILLOS,82098,FRUTICULTURA/HORTICULTURA
OLIVARES S.A.,OLIVARES S.A.,82098,FRUTICULTURA
OLIVOS ARGENTINOS SA,LA AGUADA,82098,FRUTICULTURA
OLIVOS ARGENTINOS SA,SANTA FE,82098,FRUTICULTURA
ORO NEGRO S.A.,ORO NEGRO,82098,FRUTICULTURA
"SUELDO GIORGI, LAURA",FINCA MACHIA,82098,FRUTICULTURA
TALAMUYUNA S.A.,TALAMUYUNA,82098,AGRICULTURA
"TROYANO, RUFINO",PARCELA Nº8,82098,FRUTICULTURA
AGROLOSANDES S.A.,AGROLOSANDES,82098,FRUTICULTURA/HORTICULTURA
AGROROSAL S.A.,FINCA LA LUCERA,82098,FRUTICULTURA/HORTICULTURA
AGROSAVER S.A.,FINCA LA AGUANDA,82098,FRUTICULTURA/HORTICULTURA
ALTOS LAS HORMIGAS SAVYC,ALTOS LAS HORMIGAS FINCA,82098,FRUTICULTURA
ARGENTBIO S.R.L.,FINCA EL OLMO,82098,FRUTICULTURA/HORTICULTURA
ARTEL INC,EL LUCAS,82098,FRUTICULTURA
ARTEL INC,EL TINCHO,82098,FRUTICULTURA
ASOC. COOP. EEA INTA MENDOZA,ASOCIACION COOPERADORA DE EEA MENDOZA INTA,82098,FRUTICULTURA/HORTICULTURA
AVE MARIA FIDEICOMISO,FINCA AVE MARIA AG,82098,FRUTICULTURA
AVE MARIA FIDEICOMISO,FINCA AVE MARIA B,82098,FRUTICULTURA
BAMENEX S.A.,FINCA DON JOAQUIN,82098,FRUTICULTURA/HORTICULTURA
BAMENEX S.A.,FINCA EL CARRIZAL,82098,FRUTICULTURA/HORTICULTURA
BEATRIZ VASQUEZ Y JUAN CARLOS CAMARGO SH,FINCA RINCON DESEADO,82098,FRUTICULTURA/HORTICULTURA
BEAU LIEU S.A.,BEAU LIEU SA,82098,FRUTICULTURA
BENITO Y NORMA PANELLA,FINCA PANELLA Y ANEXO,82098,FRUTICULTURA/HORTICULTURA
BIO AGRICULTORES S.A.,EL VERGEL,82098,FRUTICULTURA/HORTICULTURA
BIO-ARGENTINA S.A.,LA CELESTE,82098,FRUTICULTURA
BLANCO JOSE,UGARTECHE,82098,FRUTICULTURA
"BOCARDO, MARCELO",MARCELO BOCARDO,82098,FRUTICULTURA
BODEGA ARGENTO S.A.,FINCA UGARTECHE,82098,AGRICULTURA
BODEGA ARGENTO S.A.,FINCA ALTAMIRA,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LAS YEGUITAS,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LA PAZ,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LA ISLA,54098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA MONTECASEROS,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS BENEDETTI SRL,FINCA LOS CAMPAMENTOS,82098,FRUTICULTURA
BODEGAS Y VIÑEDOS V.O.B. S.A.,FINCA AURA (EX BODEGAS Y VIÑEDOS V.O.B.S.A.),82098,FRUTICULTURA
BUONO BENITO ARNALDO,BUONO BENITO ARNALDO,82098,FRUTICULTURA/HORTICULTURA
CAMPAL S.A.,FINCA EL CAMPAL,58035,FRUTICULTURA/HORTICULTURA
CAMPO GRANDE S.A.,ESTANCIA LAS CHACRAS,58035,FRUTICULTURA/HORTICULTURA
